type,t,x,y,z,qx,qy,qz,qw
estimator,1716592598.773678,-1.848044,-0.194310,0.007741,0.000037,0.000785,0.036029,0.999350
real,8.593000,-1.999972,-0.500000,0.008720,0.000007,0.000777,0.000227,1.000000
odom,8.627000,-1.926854,-0.590739,0.008724,0.000008,0.000779,0.000228,1.000000
estimator,1716592598.790397,-2.030787,-0.518207,0.008019,0.000008,0.000786,0.000214,1.000000
real,8.627000,-1.999972,-0.500000,0.008724,0.000008,0.000779,0.000228,1.000000
odom,8.661000,-2.027720,-0.436034,0.008726,0.000010,0.000778,0.000229,1.000000
estimator,1716592598.824899,-1.926855,-0.590739,0.007999,0.000009,0.000787,0.000228,1.000000
real,8.661000,-1.999972,-0.500000,0.008726,0.000010,0.000778,0.000229,1.000000
odom,8.695000,-1.908336,-0.427452,0.008721,0.000010,0.000776,0.000230,1.000000
estimator,1716592598.858256,-2.027721,-0.436034,0.008003,0.000012,0.000787,0.000229,1.000000
real,8.695000,-1.999972,-0.500000,0.008721,0.000010,0.000776,0.000230,1.000000
odom,8.729000,-1.933866,-0.550471,0.008719,0.000010,0.000776,0.000231,1.000000
estimator,1716592598.892396,-1.908337,-0.427452,0.007996,0.000012,0.000785,0.000230,1.000000
real,8.729000,-1.999972,-0.500000,0.008719,0.000010,0.000776,0.000231,1.000000
odom,8.763000,-1.910946,-0.458737,0.008719,0.000010,0.000777,0.000232,1.000000
estimator,1716592598.926785,-1.933867,-0.550471,0.007994,0.000011,0.000785,0.000231,1.000000
real,8.763000,-1.999972,-0.500000,0.008719,0.000010,0.000777,0.000232,1.000000
odom,8.797000,-2.050987,-0.565084,0.008727,0.000009,0.000778,0.000233,1.000000
estimator,1716592598.974516,-2.870042,-1.572684,0.010770,0.000814,0.000181,0.900169,0.435540
real,8.797000,-1.999972,-0.500000,0.008727,0.000009,0.000778,0.000233,1.000000
odom,8.831000,-2.088501,-0.482689,0.008728,0.000009,0.000779,0.000234,1.000000
estimator,1716592598.995163,-1.980513,-0.513153,0.008102,0.000011,0.000785,0.000323,1.000000
real,8.831000,-1.999972,-0.500000,0.008728,0.000009,0.000779,0.000234,1.000000
odom,8.865000,-2.097111,-0.480739,0.008726,0.000010,0.000778,0.000235,1.000000
estimator,1716592599.028661,-2.088502,-0.482689,0.008212,0.000011,0.000786,0.000234,1.000000
real,8.865000,-1.999972,-0.500000,0.008726,0.000010,0.000778,0.000235,1.000000
odom,8.899000,-2.011071,-0.539410,0.008717,0.000011,0.000776,0.000236,1.000000
estimator,1716592599.064638,-2.097112,-0.480739,0.008211,0.000013,0.000785,0.000235,1.000000
real,8.899000,-1.999972,-0.500000,0.008717,0.000011,0.000776,0.000236,1.000000
